"Bolivia";"Impunity:Rights of people with disabilities:Freedom of assembly:Indigenous peoples’ rights:Rights of lesbian, gay, bisexual, transgender and intersex people:Sexual and reproductive rights:Freedom of association:Prison conditions"
"Bosnia and herzegovina";"Discrimination:Freedom of expression:Crimes under international law"
"Botswana";"Freedom of expression:Freedom of assembly:Rights of lesbian, gay, bisexual, transgender and intersex people:Women’s rights:Right to health - mineworkers:Refugees and asylum-seekers:Death penalty"
"Brazil";"Public security:Unlawful killings:Enforced disappearances:Prison conditions:Freedom of assembly:Human rights defenders:Indigenous peoples’ rights and migrants:Violence against women and girls:Children’s rights"
"Brunei darussalam";"Death penalty:Torture and other ill-treatment:Freedom of expression:Freedom of religion:Rights of lesbian, gay, bisexual, transgender and intersex people:Counter-terror and security"
"Bulgaria";"Refugees’ and migrants’ rights:Discrimination:Counter-terror and security"
"Burkina faso";"Military tribunal:Abuses by armed groups:Impunity:Women’s rights"
"Burundi";"Unlawful killings:Enforced disappearances:Torture and other ill-treatment:Violence against women and girls:Arbitrary arrests and detentions:Freedom of expression:Freedom of association:Human rights defenders:Lack of accountability:Refugees and internally displaced people:Women’s rights:International scrutiny"
"Cambodia";"Freedoms of expression and association:Human rights defenders:Freedom of assembly:Unlawful killings:Right to adequate standard of living:Refugees and asylum-seekers"
"Cameroon";"Abuses by armed groups - boko haram:Arbitrary arrests and detentions:Enforced disappearances:Freedoms of expression, association and assembly:Unfair trials:Impunity:Prison conditions:Refugees’ and migrants’ rights:Rights of lesbian, gay, bisexual, transgender and intersex people:Right to an adequate standard of living:Death penalty"
"Canada";"Indigenous peoples’ rights:Women’s rights:Counter-terror and security:Justice system:Refugees and asylum-seekers:Corporate accountability:Institutional developments"
"Central african republic";"Abuses by armed groups and crimes under international law:Violations by peacekeeping forces:Refugees and internally displaced people:Impunity:International justice:Prison conditions:Natural resources:Right to an adequate standard of living"
"Chad";"Abuses by armed groups:Freedoms of expression and assembly:Excessive use of force:Arbitrary arrests and detentions - journalists:Enforced disappearances:Refugees and internally displaced people:Right to an adequate standard of:Sexual and reproductive rights:International justice"
"Chile";"Police and security forces:Impunity:Indigenous peoples’ rights:Sexual and reproductive rights:Rights of lesbian, gay, bisexual, transgender and intersex people"
"China";"Institutional developments:Justice system:Human rights defenders:Freedom of expression:Freedom of religion and belief:Death penalty:Tibet autonomous region and tibetan-populated areas in other:Provinces:Xinjiang uighur autonomous:Region:Hong kong special administrative:Region"
"Colombia";"Peace process:Internal armed conflict:Security forces:Abuses by armed groups:Impunity:Human rights defenders:Land rights:Violence against women and girls:International scrutiny"
"Congo (republic of the)";"Freedoms of expression and assembly:Excessive use of force:Torture and other ill-treatment:Institutional developments"
"Côte d’ivoire";"Freedoms of expression, association and assembly:Impunity:International justice:Justice system:Prison conditions:Corporate accountability:Abuses by armed groups"
"Croatia";"Refugees and asylum-seekers:Crimes under international law:Discrimination:Freedom of expression - media and journalists"
"Cuba";"Freedoms of expression and association:Arbitrary arrests and detentions:International scrutiny"
"Cyprus";"Refugees’ and migrants’ rights:Right to an adequate standard of living:Enforced disappearances:Torture and other ill-treatment:Human rights defenders"
"Czech republic";"Discrimination - roma:Racism and xenophobia:Refugees and asylum-seekers:Rights of lesbian, gay, bisexual, transgender and intersex people:Women’s rights"
"Democratic republic of the congo";"Freedoms of association and assembly:Excessive use of force:Freedom of expression:Human rights defenders:Conflict in eastern drc:Refugees and internally displaced people:Torture and other ill-treatment:Impunity:Prison conditions:Right to an adequate standard of living:Right to education"
"Denmark";"Refugees and asylum-seekers:Discrimination - transgender:People:Counter-terror and security:Torture and other ill-treatment"
"Dominican republic";"Police and security forces:Refugees’ and migrants’ rights:Discrimination - stateless persons:Human rights defenders:Sexual and reproductive rights:Violence against women and girls:Rights of lesbian, gay, bisexual, transgender and intersex people"
"Ecuador";"Freedoms of expression and association:Indigenous peoples’ rights:Human rights defenders"
"Egypt";"Counter-terror and security:Freedoms of expression, association and assembly:Excessive use of force:Arbitrary arrests and detentions:Enforced disappearances:Torture and other ill-treatment:Unfair trials:Impunity:Women’s rights:Discrimination - religious:Minorities:Rights of lesbian, gay, bisexual, transgender and intersex people:Refugees’ and migrants’ rights:Workers’ rights:Death penalty"
"El salvador";"Excessive use of force and extrajudicial executions:Women’s rights:Human rights defenders:Migrants’ rights:Impunity"
"Equatorial guinea";"Freedom of expression:Freedom of assembly:Excessive use of force:Arbitrary arrest and detentions:Right to education"
"Eritrea";"Forced labour - national service:Freedom of movement:Unlawful killings:Prisoners of conscience:Refugees’ and migrants’ rights:International scrutiny"
"Estonia";"Discrimination - ethnic minorities:Refugees and asylum-seekers:Rights of lesbian, gay, bisexual, transgender and intersex people"
"Ethiopia";"Excessive use of force:Freedoms of expression and assembly:Unfair trials:Impunity:Extrajudicial executions:Housing rights - forced evictions:Abduction of children"
"Fiji";"Freedoms of expression and peaceful assembly:Torture and other ill-treatment:Disaster risk reduction and climate change"
"Finland";"Refugees and asylum-seekers:Rights of lesbian, gay, bisexual, transgender and intersex people:Violence against women and girls:Right to privacy:Conscientious objectors"
"France";"Counter-terror and security:Refugees’ and migrants’ rights:Freedom of assembly:Discrimination:Corporate accountability:Arms trade"
"Gambia";"Freedom of expression:Freedom of assembly:Torture and other ill-treatment:Deaths in custody:Enforced disappearances, arbitrary detentions and incommunicado detention:Children’s rights"
"Georgia";"Justice system:Freedom of assembly:Freedom of expression:Rights of lesbian, gay, bisexual, transgender and intersex people:Torture and other ill-treatment"
"Germany";"Refugees and asylum-seekers:Torture and other ill-treatment:Discrimination:Counter-terror and security:Arms trade:Corporate accountability"
"Ghana";"Freedom of expression:Women’s rights:Children’s rights:Excessive use of force:Right to health:Rights of lesbian, gay, bisexual, transgender and intersex people:Death penalty"
"Greece";"Refugees’ and migrants’ rights:Conscientious objectors:Torture and other ill-treatment:Prison conditions:Discrimination - roma:Racism:Rights of lesbian, gay, bisexual, transgender and intersex people"
"Guatemala";"Transitional justice:Human rights defenders:Refugees’ and migrants’ rights:Land disputes"
"Guinea";"Excessive use of force:Freedom of expression:Torture and other ill-treatment:Death penalty:Impunity:Women’s rights"
"Guinea-bissau";"Justice system:Prison conditions"
"Haiti";"Internally displaced people:Refugees’ and migrants’ rights:Right to health - cholera epidemic:Rights of lesbian, gay, bisexual, transgender and intersex people:Impunity"
"Honduras";"Refugees’ and migrants’ rights:Human rights defenders:Indigenous peoples’ rights:Women’s rights:Justice system"
"Hungary";"Counter-terror and security:Freedom of association:Freedom of expression - journalists:Justice system:Discrimination - roma:Refugees and migrants"
"India";"Abuses by armed groups:Caste-based discrimination and violence:Children’s rights:Communal and ethnic violence:Corporate accountability:Extrajudicial executions:Freedom of association:Freedom of expression:Human rights defenders:Jammu and kashmir:Rights of lesbian, gay, bisexual, transgender and intersex people:Violence against women and girls"
"Indonesia";"Freedom of expression:Rights of lesbian, gay, bisexual, transgender and intersex people:Freedom of religion and belief:Impunity:Police and security forces:Prisoners of conscience:Torture and other ill-treatment:Death penalty"
"Iran";"International scrutiny:Freedoms of expression, association and assembly:Torture and other ill-treatment:Unfair trials:Freedom of religion and belief:Discrimination - ethnic minorities:Women’s rights:Death penalty"
"Iraq";"Armed conflict - violations by militias and government forces:Abuses by armed groups:Violence against women and girls:Arbitrary arrests and detentions:Torture and other ill-treatment:Unfair trials:Refugees and internally displaced people:Freedom of expression - media workers:Kurdistan region of iraq:Death penalty"
"Ireland";"Sexual and reproductive rights:Housing rights:Discrimination:Refugees’ and asylum-seekers’ rights"
"Israel and the occupied palestinian territories";"Freedom of movement - gaza:Blockade and west bank:Restrictions:Arbitrary arrests and detentions:Torture and other ill-treatment:Unlawful killings:Excessive use of force:Freedoms of expression, association and assembly:Housing rights - forced evictions and demolitions:Impunity:Violence against women and girls:Refugees and asylum-seekers:Conscientious objectors"
"Italy";"Refugees’ and migrants’ rights:Discrimination - roma:Rights of lesbian, gay, bisexual, transgender and intersex people:Torture and other ill-treatment:Deaths in custody"
"Jamaica";"Police and security forces:Violence against women and girls:Children’s rights:Rights of lesbian, gay, bisexual, transgender and intersex people:International justice"
"Japan";"Rights of lesbian, gay, bisexual, transgender and intersex people:Discrimination - ethnic minorities:Violence against women and girls:Refugees and asylum-seekers:Justice system:Freedom of assembly"
"Jordan";"Torture and other ill-treatment:Deaths in custody:Unfair trials:Administrative detention:Freedoms of expression, association and assembly:Women’s rights:Migrant workers’ rights:Refugees and asylum-seekers:Death penalty"
"Kazakhstan";"Freedom of assembly:Freedom of expression:Freedom of association:Torture and other ill-treatment:Migrant workers’ rights:Death penalty"
"Kenya";"Abuses by armed groups:Counter-terror and security:Extrajudicial executions:Freedom of assembly:Freedom of expression:Refugees and asylum-seekers:Rights of lesbian, gay, bisexual, transgender and intersex people:Housing rights - forced evictions"
"Korea (democratic people’s republic of)";"Freedom of movement:Migrant workers’ rights:Arbitrary arrests and detentions:Freedom of expression:Enforced disappearances"
"Korea (republic of)";"Freedom of assembly:Freedom of expression:Corporate accountability:Workers’ rights:Refugees and asylum-seekers:Arbitrary arrests and detentions:Conscientious objectors"
"Kuwait";"Freedoms of expression and assembly:Counter-terror and security:Deprivation of nationality:Discrimination - bidun:Women’s rights:Migrant workers’ rights:Death penalty"
"Kyrgyzstan";"Prisoner of conscience:Freedom of association:Rights of lesbian, gay, bisexual, transgender and intersex people:Institutional developments:Discrimination - sex workers:Impunity:Violence against women and girls"
"Laos";"Enforced disappearances:Freedom of expression:Human rights defenders:Land disputes"
"Latvia";"Discrimination:Refugees and asylum-seekers"
"Lebanon";"Torture and other ill-treatment:Refugees and asylum-seekers:Women’s rights:Migrant workers’ rights:International justice:Impunity:Death penalty"
"Lesotho";"Political instability:Unfair trials:Torture and other ill-treatment:Freedom of expression:Right to health:Right to an adequate standard of living"
"Libya";"Internal armed conflict:Impunity:Internally displaced people:Freedoms of expression, association and assembly:Justice system:Refugees’ and migrants’ rights:Women’s rights:Death penalty"
"Lithuania";"Counter-terror and security:Rights of lesbian, gay, bisexual, transgender and intersex people:Discrimination - people:With disabilities"
"Macedonia";"Justice system:Discrimination - roma:Refugees’ and migrants’ rights"
"Madagascar";"Right to health:Children’s rights:Impunity:Women’s rights:Freedom of expression:Prison conditions"
"Malawi";"Discrimination - people:With albinism:Repression of dissent"
"Malaysia";"Freedom of expression:Freedoms of assembly and association:Arbitrary arrests and detentions:Police and security forces:Refugees and asylum-seekers:Death penalty"
"Maldives";"Unfair trials:Justice system:Freedom of expression:Freedom of assembly:Punishment:Death penalty"
"Mali";"Abuses by armed groups:Excessive use of force:Impunity:International justice:Freedom of expression:Right to education:Right to an adequate standard of living:Women’s rights"
"Malta";"Refugees’ and migrants’ rights:Sexual and reproductive rights:Institutional developments"
"Mauritania";"Human rights defenders:Freedoms of expression, association and assembly:Torture and other ill-treatment:Discrimination - haratines and afro-mauritanians:Slavery"
"Mexico";"Police and security forces:Extrajudicial executions:Torture and other ill-treatment:Refugees’ and migrants’ rights:Enforced disappearances:Human rights defenders and journalists:Freedom of assembly:Rights of lesbian, gay, bisexual, transgender and intersex people:Violence against women and girls:Indigenous peoples’ rights"
"Moldova";"Freedom of assembly:Unfair trials:Freedom of expression - media:Torture and other ill-treatment:Institutional developments:Rights of lesbian, gay, bisexual, transgender and intersex people:Discrimination - people:With disabilities"
"Mongolia";"Housing rights:Human rights defenders:Torture and other ill-treatment"
"Montenegro";"Counter-terror and security:Discrimination - lesbian, gay, intersex people:Enforced disappearances:Freedom of expression - journalists:Refugees and internally displaced people"
"Morocco/western sahara";"Justice system:Freedom of expression:Freedoms of association and assembly:Repression of dissent - sahrawi activists:Torture and other ill-treatment:Impunity:Women’s rights:Rights of lesbian, gay, bisexual, transgender and intersex people:Refugees’ and migrants’ rights:Polisario camps:Death penalty"
"Mozambique";"Lack of accountability:Refugees and asylum-seekers:Freedom of expression:Freedom of assembly"
"Myanmar";"Discrimination:Freedom of religion and belief:Internal armed conflict:Lack of humanitarian access:Refugees and internally displaced people:Prisoners of conscience:Freedoms of expression, association and assembly:Corporate accountability:Death penalty:Lack of accountability:International scrutiny"
"Namibia";"Caprivi detainees:Freedom of expression:Violence against women and girls"
"Nauru";"Sexual and reproductive rights:Freedom of movement:Refugees and asylum-seekers"
"Nepal";"Right to adequate housing:Excessive use of force:Migrant workers’ rights:Torture and other ill-treatment:Impunity:Freedom of expression:Discrimination"
"Netherlands";"Refugees’ and migrants’ rights:Right to an adequate standard of living:Discrimination:Counter-terror and security:Human rights defenders"
"New zealand";"Justice system:Refugees and asylum-seekers:Violence against women and girls:Children’s rights:Institutional developments"
"Nicaragua";"Women’s rights:Grand interoceanic canal:Indigenous peoples’ rights:Human rights defenders"
"Niger";"Abuses by armed groups:Internally displaced people:Refugees’ and migrants’ rights:Counter-terror and security:Prison conditions:Enforced disappearances:Freedom of expression"
"Nigeria";"Armed conflict:Internally displaced people:Arbitrary arrests and detentions:Lack of accountability:Corporate accountability:Death penalty:Freedom of expression - journalists:Freedom of assembly:Unlawful killings:Enforced disappearances:Torture and other ill-treatment:Communal violence:Freedom of association:Housing rights:Women’s rights:Rights of lesbian, gay, bisexual, transgender and intersex people:Children’s rights"
"Norway";"Refugees and asylum-seekers:Rights of lesbian, gay, bisexual, transgender and intersex people:Discrimination - sex workers:Violence against women and girls:International justice"
"Oman";"Freedoms of expression and association:Women’s rights:Migrant workers’ rights:Death penalty"
"Pakistan";"Abuses by armed groups:Police and security forces:Death penalty:Military courts:Discrimination - religious:Minorities:Violence against women and girls:Right to health - women and girls:Freedom of expression - journalists:Human rights defenders:Refugees and asylum-seekers:Workers’ rights"
"Palestine (state of)";"Institutional developments:Arbitrary arrests and detentions:Unfair trials:Torture and other ill-treatment:Freedoms of expression, association and assembly:Unlawful killings:Women’s and girls' rights:Death penalty"
"Papua new guinea";"Freedoms of expression and peaceful assembly:Violence against women and girls:Discrimination - sex workers:Refugees and asylum-seekers"
"Paraguay";"International scrutiny:Indigenous peoples’ rights:Housing rights - forced evictions:Justice system:Women’s and girls’ rights:Freedom of expression:Human rights defenders"
"Peru";"Human rights defenders:Indigenous peoples’ rights:Impunity:Violence against women and girls:Sexual and reproductive rights"
"Philippines";"Unlawful killings:Torture and other ill-treatment:Excessive use of force:Human rights defenders:Death penalty:Abuses by armed groups:Right to an adequate standard of"
"Poland";"Institutional developments:Justice system:Freedom of expression - journalists:Freedom of assembly:Discrimination:Refugees’ and migrants’ rights:Sexual and reproductive rights"
"Portugal";"Discrimination:Right to health:Torture and other ill-treatment:Prison conditions:Rights of lesbian, gay, bisexual, transgender and intersex people:Refugees’ and migrants’ rights:Sexual and reproductive rights:Violence against women and girls"
"Puerto rico";"Right to an adequate standard of living:Rights of lesbian, gay, bisexual, transgender and intersex people:Police and security forces:Death penalty"
"Qatar";"Freedoms of expression, association and assembly:Torture and other ill-treatment:Migrant workers’ rights:Women’s rights:Death penalty"
"Romania";"Discrimination - roma:Police and security forces:Discrimination - people:With disabilities:Rights of lesbian, gay, bisexual, transgender and intersex people:Counter-terror and security:Violence against women and girls"
"Russian federation";"Institutional developments:Freedom of assembly:Freedom of association - human:Rights defenders:Freedom of expression:North caucasus:Unfair trials:Torture and other ill-treatment:Armed conflict - syria:International justice:Refugees’ and migrants’ rights"
"Rwanda";"Freedoms of association and assembly:Freedom of expression:Human rights defenders:Crimes under international law:Unfair trials:Refugees and asylum-seekers"
"Saudi arabia";"Armed conflict in yemen:Freedoms of expression, association and assembly:Human rights defenders:Counter-terror and security:Arbitrary arrests and detentions:Torture and other ill-treatment:Discrimination - shi’a minority:Women’s rights:Migrant workers’ rights:Death penalty"
"Senegal";"Freedom of assembly:Freedom of expression:Counter-terror and security:Prison conditions and deaths in custody:Impunity:Discrimination - sexual orientation:Children’s rights"
"Serbia";"Crimes under international law:Freedom of expression:Housing rights:Refugees’ and migrants’ rights:Kosovo"
"Sierra leone";"International scrutiny:Freedoms of expression, assembly and association:Women’s rights:Right to education:Land disputes"
"Singapore";"Freedoms of expression and assembly:Death penalty:Counter-terror and security:Rights of lesbian, gay, bisexual, transgender and intersex people"
"Slovakia";"Discrimination - roma:Counter-terror and security:Refugees and asylum-seekers:Discrimination"
"Slovenia";"Refugees and asylum-seekers:Discrimination:Rights of lesbian, gay, bisexual, transgender and intersex people:Institutional developments"
"Somalia";"Abuses by armed groups:Child soldiers:Internally displaced people, refugees and asylum-seekers:Housing rights - forced eviction:Freedom of expression:Death penalty"
"South africa";"Excessive use of force:Police:International justice:Corporate accountability:Refugees’ and migrants’ rights:Women’s rights:Rights of lesbian, gay, bisexual, transgender and intersex people:Human rights defenders:Freedom of expression:Discrimination:Right to education"
"South sudan";"Internal armed conflict:Arbitrary detentions and torture and other ill-treatment:Lack of accountability:Freedom of expression:Freedom of association:Right to health - mental health:Institutional developments"
"Spain";"Freedoms of expression and assembly:Torture and other ill-treatment:Refugees’ and migrants’ rights:Impunity:Discrimination - migrants’ health:Right to housing:Violence against women"
"Sri lanka";"Arbitrary arrests and detentions:Torture and other ill-treatment:Excessive use of force:Enforced disappearances:Impunity:Human rights defenders:Freedoms of expression, assembly and association:Institutional developments:Discrimination:Violence against women and girls:Death penalty"
"Sudan";"International criminal court:Armed conflict:Freedom of association:Freedom of expression:Arbitrary arrests and detentions:Excessive use of force"
"Swaziland";"Legal developments:Freedoms of assembly and association:Freedom of expression:Deaths in custody:Torture and other ill-treatment:Women’s rights:Right to an adequate standard of living:Death penalty"
"Sweden";"Refugees and asylum-seekers:Discrimination - roma and sami peoples:Rights of lesbian, gay, bisexual, transgender and intersex people:Violence against women and girls:Arms trade"
"Switzerland";"Refugees’ and migrants’ rights:Police and security forces:Discrimination:Counter-terror and security"
"Syria";"Armed conflict - violations by syrian government forces and armed conflict - abuses by armed groups:Armed conflict - air strikes by us-led forces:Armed conflict - attacks by turkish forces:Armed conflict - abuses by the pyd-led autonomous administration:Refugees and internally displaced people:Enforced disappearances:Torture and other ill-treatment:Unfair trials:Unlawful killings:Women’s rights:Death penalty"
"Taiwan";"Freedom of assembly:Death penalty:Refugees and asylum-seekers"
"Tajikistan";"Unfair trials:Torture and other ill-treatment:Freedom of association:Freedom of expression:Rights to water and sanitation"
"Tanzania";"Freedom of assembly:Freedom of expression - journalists:Women’s rights:Rights of lesbian, gay, bisexual, transgender and intersex people"
"Thailand";"Justice system:Freedoms of expression, association and assembly:Arbitrary arrests and detention:Human rights defenders:Armed conflict:Torture and other ill-treatment:Refugees and asylum-seekers"
"Timor-leste";"Impunity:Police and security forces:Freedom of expression:Violence against women and girls"
"Togo";"Excessive use of force:Torture and other ill-treatment:Arbitrary arrests and detentions:Freedom of association:Impunity:Institutional developments"
"Tunisia";"Transitional justice:Arbitrary arrests and detentions, and freedom of movement:Counter-terror and security:Torture and other ill-treatment:Freedoms of expression and assembly:Women’s rights:Rights of lesbian, gay, bisexual, transgender and intersex people:Death penalty"
"Turkey";"Freedom of expression:Freedom of assembly:Torture and other ill-treatment:Excessive use of force:Impunity:Abuses by armed groups:Refugees and asylum-seekers:Internally displaced people"
"Turkmenistan";"Freedom of expression:Forced labour:Institutional developments:Enforced disappearances:Freedom of religion and belief:Torture and other ill-treatment:International scrutiny:Freedom of movement"
"Uganda";"Freedoms of association and assembly:Freedom of expression:Unlawful killings:Human rights defenders:Rights of lesbian, gay, bisexual, transgender and intersex people:Crimes under international law:Counter-terror and security"
"Ukraine";"Torture and other ill-treatment:Enforced disappearance:Arbitrary arrests and detentions:Internally displaced people:Freedom of expression - journalists:Rights of lesbian, gay, bisexual, transgender and intersex people:Crimea"
"United arab emirates";"Freedoms of expression and association:Enforced disappearances:Torture and other ill-treatment:Unfair trials:Women’s rights:Migrant workers’ rights:Death penalty"
"United kingdom";"Institutional developments:Justice system:Counter-terror and security:Torture and other ill-treatment:Surveillance:Northern ireland - legacy issues:Sexual and reproductive rights:Discrimination:Refugees’ and migrants’ rights:Violence against women and girls:Trade union rights"
"United states of america";"International scrutiny:Impunity:Counter-terror and security:Excessive use of force:Freedom of assembly:Gun violence:Refugees’ and migrants’ rights:Women’s rights:Rights of lesbian, gay, bisexual, transgender and intersex people:Prison conditions:Death penalty"
"Uruguay";"Prison conditions:Impunity:Rights of lesbian, gay, bisexual, transgender and intersex people:Sexual and reproductive rights"
"Uzbekistan";"Torture and other ill-treatment:Counter-terror and security:Forced labour:Freedom of expression - human rights defenders"
"Venezuela";"Impunity:Excessive use of force:Human rights defenders:Prison conditions:Arbitrary arrests and detentions:Prisoners of conscience:Police and security forces:Freedom of expression:Violence against women and girls:Rights of lesbian, gay, bisexual, transgender and intersex people:Sexual and reproductive rights:Indigenous peoples’ rights:Right to health - lack of food and medicine"
"Viet nam";"Repression of dissent:Freedom of assembly:Land disputes:Torture and other ill-treatment:Refugees and asylum-seekers:Right to an adequate standard of living:Death penalty"
"Yemen";"Armed conflict:Impunity:Lack of humanitarian access:Internally displaced people:International scrutiny:Women’s and girls’ rights:Death penalty"
"Zambia";"Freedom of assembly:Freedom of expression:Children’s rights"
"Zimbabwe";"Freedom of expression:Repression of dissent:Freedom of association:Torture and other ill-treatment:Constitutional and legal:Developments:Death penalty:Right to health:Children’s rights:Housing rights"
